NO_MUNICIPIO_PROVA,NOTA_MEDIA,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,QTD_CANDIDATOS,Ano,municipio_norm
GUACUI,496.4900285947713,511.5449079754601,479.36196319018404,511.46539877300614,475.56920245398777,506.1712846347607,816,2013,GUACUI
GUARAPARI,505.1007596571565,520.0779188712522,491.513721340388,524.1864454641723,478.6707730321214,512.8145454545455,2839,2013,GUARAPARI
IBIRACU,502.24087884494645,528.1733962264151,486.5656603773585,514.5342749529191,473.49887005649714,511.3894324853229,531,2013,IBIRACU
ITAPEMIRIM,476.52215759075915,489.95421836228286,463.6157568238213,493.9325842696629,451.6680399500624,483.9744897959184,808,2013,ITAPEMIRIM
IUNA,500.6071486865598,521.3045906656465,481.17283856159145,519.9897239263804,473.57085889570556,507.59316770186336,1307,2013,IUNA
JAGUARE,496.17530274656673,510.9315196998124,476.4101313320826,513.8000000000001,470.9486891385768,509.4837476099426,534,2013,JAGUARE
JOAO NEIVA,516.8244074844074,551.8598752598753,490.6582120582121,527.3076923076923,490.4594594594595,525.2564102564103,481,2013,JOAO NEIVA
LINHARES,504.8809601100413,523.0456497797356,486.22838656387665,519.4255107675317,474.68155715074545,523.2313559322034,3635,2013,LINHARES
MARATAIZES,498.6188118489589,515.0032289628181,480.7349315068493,514.3346116027532,469.6729596853491,514.2899702085402,1024,2013,MARATAIZES
MIMOSO DO SUL,491.6991841620618,506.0688053097345,473.5424778761062,505.1114917127072,466.1832044198895,510.61617312072894,905,2013,MIMOSO DO SUL
MONTANHA,477.31119203491556,491.77528641571195,464.8032733224222,495.4837704918032,459.6373770491803,476.24584717607974,611,2013,MONTANHA
NOVA VENECIA,500.44622886762403,520.2828626136907,481.0615126854955,514.8906564446575,471.92151413512215,516.7178095707943,2090,2013,NOVA VENECIA
PEDRO CANARIO,465.17576973684174,480.53513157894736,456.0,485.33915343915345,445.13121693121695,460.7810320781032,760,2013,PEDRO CANARIO
PINHEIROS,485.0884097589653,495.08589065255734,473.2795414462081,502.8593639575972,453.8128975265018,502.00716845878134,567,2013,PINHEIROS
SANTA MARIA DE JETIBA,496.4447122838398,513.5460644007155,478.8015205724508,514.5704565801253,471.54888093106536,504.8325791855204,1118,2013,SANTA MARIA DE JETIBA
SANTA TERESA,514.2480327004216,540.1684335443039,494.05150316455695,526.4039714058777,486.93534551231136,525.2314516129032,1264,2013,SANTA TERESA
SAO GABRIEL DA PALHA,498.77474951830413,513.9521487603306,483.5198347107438,512.7847107438016,473.22876033057855,511.43581081081084,1211,2013,SAO GABRIEL DA PALHA
SAO MATEUS,500.6538132814893,519.2430205949656,485.4264073226544,520.6372625314717,472.15033188372627,506.8803838951311,4372,2013,SAO MATEUS
SERRA,499.55285781898255,514.7194397993311,490.3165217391304,522.5446781763325,470.04423399262487,501.43304498269896,11973,2013,SERRA
SOORETAMA,476.93619198312246,484.7386075949367,460.0457805907173,497.1753164556962,455.93691983122363,490.0,474,2013,SOORETAMA
VENDA NOVA DO IMIGRANTE,517.9250313511324,539.4554341226473,496.96593806921675,531.3486338797813,491.1585306618093,531.2279411764706,1648,2013,VENDA NOVA DO IMIGRANTE
VIANA,486.20023743340255,495.66129256428076,477.57727588603194,510.55797909407664,462.5250174216028,486.3537906137184,1439,2013,VIANA
VILA VELHA,525.2664827889406,546.1727823050059,513.0044004656578,545.0524957104975,494.88303696771175,527.6456889605157,12889,2013,VILA VELHA
VITORIA,541.4103572204106,563.8320443189225,523.0524295749149,560.1450225257956,507.9264133120186,552.6056316590564,13815,2013,VITORIA
AFONSO CLAUDIO,494.58016684802266,470.24036996735634,497.6756256800872,535.0323144104797,479.2727074235806,495.21939953810625,919,2014,AFONSO CLAUDIO
AGUA DOCE DO NORTE,474.8501064701066,447.7810810810816,485.68673218673234,529.8140394088673,463.34187192118225,450.343085106383,407,2014,AGUA DOCE DO NORTE
ALEGRE,508.4102465897171,496.72542016806744,508.4054621848735,548.5067191601054,493.4372703412068,498.1731843575419,1906,2014,ALEGRE
ANCHIETA,509.2329029733956,486.39422818791917,511.2689932885909,551.4474108944188,491.44727639542697,508.5268667131891,1491,2014,ANCHIETA
ARACRUZ,510.18419836823097,494.8567543600355,510.678795038393,554.3925487876984,491.9623372781073,501.5932778291705,3391,2014,ARACRUZ
BAIXO GUANDU,503.8549347568218,489.2959372772628,510.4918803418799,546.0220314735334,484.75450643776736,491.9536474164134,1405,2014,BAIXO GUANDU
BARRA DE SAO FRANCISCO,480.0866030610221,456.5886499402626,485.67891278375185,528.4641960549909,468.8482964734011,463.81553398058253,1677,2014,BARRA DE SAO FRANCISCO
BREJETUBA,472.6896978851965,447.20271903323254,477.03172205438074,519.1858006042296,465.9861027190332,456.43564356435644,331,2014,BREJETUBA
CACHOEIRO DE ITAPEMIRIM,508.5231307160932,482.1996928926591,510.40561321444306,550.4498537156228,487.8542873865976,515.0491452991453,6852,2014,CACHOEIRO DE ITAPEMIRIM
CARIACICA,495.04242859021,470.79719284372584,504.9068345679037,546.8864226916593,480.46416311142013,473.9352631578947,10141,2014,CARIACICA
CASTELO,513.9371044546849,491.5944700460831,511.83705069124363,555.1643253234752,500.5136783733835,512.8952380952381,1085,2014,CASTELO
COLATINA,518.1151643053912,495.73832972227757,517.1652422213448,557.809164367361,494.64363421363686,528.3262425853958,5082,2014,COLATINA
CONCEICAO DA BARRA,478.8448234381071,447.85203725261914,485.7151338766007,531.7486013986011,466.4024475524478,464.81296758104736,859,2014,CONCEICAO DA BARRA
DOMINGOS MARTINS,517.2932896131427,511.4900635930041,518.289348171701,554.7605577689237,499.60581673306723,505.8748950461797,1258,2014,DOMINGOS MARTINS
ECOPORANGA,479.8248430365297,459.09399656946835,485.4967465753433,527.6908777969024,474.3251290877797,455.0,584,2014,ECOPORANGA
GUACUI,502.4186731557372,479.3818647540979,508.5902663934425,547.7640657084185,492.8704312114991,485.8697068403909,976,2014,GUACUI
GUARAPARI,509.1962382338668,484.9988064046592,514.5018049490527,555.0260233918127,492.0009654768878,502.4833384286151,3435,2014,GUARAPARI
IBIRACU,506.436589698047,489.047779751332,506.44671403197157,550.294839857651,489.501957295373,500.26565464895634,563,2014,IBIRACU
ITAPEMIRIM,482.79162828282847,457.96650485436896,489.28070388349454,530.6768009768006,470.4761904761905,468.2175622542595,825,2014,ITAPEMIRIM
IUNA,508.1791309523816,491.5774886141834,509.94070221066465,549.5617532467521,491.01694805194745,501.8056512749828,1540,2014,IUNA
JAGUARE,491.8178076062639,466.6518456375837,491.75318791946364,538.1505050505049,478.78063973063985,488.3333333333333,596,2014,JAGUARE
JOAO NEIVA,519.3543403441686,510.6428298279154,513.545124282983,555.3032504780117,500.9592734225616,519.67,523,2014,JOAO NEIVA
LINHARES,504.9895440483732,482.68731532292037,504.27585479105096,549.2842249947138,488.23556166701917,503.85873688908725,4741,2014,LINHARES
MARATAIZES,501.229109219858,480.17566182749783,501.92847399829463,546.415924657534,482.3665239726031,497.39946855624447,1175,2014,MARATAIZES
MIMOSO DO SUL,495.58040431759986,471.3524175824177,498.51997804610363,537.8199119911997,485.49548954895477,488.53216374269005,911,2014,MIMOSO DO SUL
MONTANHA,482.1433609958504,456.1095435684644,488.95435684647276,528.3969529085872,470.40678670360097,469.7709923664122,723,2014,MONTANHA
NOVA VENECIA,504.0061891480729,482.4477929984779,505.566514459665,544.8570773930751,487.2363543788195,503.494060475162,1972,2014,NOVA VENECIA
PEDRO CANARIO,474.2445828065742,455.0127686472819,480.0510745891283,522.1919847328246,467.0215012722645,449.01525658807213,791,2014,PEDRO CANARIO
PINHEIROS,484.3290217929673,454.7183035714286,490.3651785714289,532.8682089552234,474.49313432835834,470.98073836276086,673,2014,PINHEIROS
SANTA MARIA DE JETIBA,501.27993278463566,482.3299504950489,505.50313272877094,545.4467821782191,486.9840759075907,488.6077922077922,1215,2014,SANTA MARIA DE JETIBA
SANTA TERESA,519.2420284834493,497.50947611710285,516.801309707242,556.5679289026284,503.57395672333865,524.1078509119747,1299,2014,SANTA TERESA
SAO GABRIEL DA PALHA,498.00055636540304,476.6070802919712,503.99678832116814,540.4152046783626,480.88355263157933,490.5921356977641,1372,2014,SAO GABRIEL DA PALHA
SAO MATEUS,496.833690108191,476.5324303405578,500.79584219686774,544.5678350116199,483.03503098373386,481.11737089201876,5176,2014,SAO MATEUS
SERRA,503.6039266354776,481.57242917689,512.0256149216016,554.8052670900261,486.3388133313406,485.3473100648083,13467,2014,SERRA
SOORETAMA,472.39607602339146,441.1500878734623,477.44850615114217,522.5479789103692,466.97288732394395,455.9203036053131,570,2014,SOORETAMA
