municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,IND_REND_2023,NOTA_MEDIA_SAEB_2023,IDEB_2023,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
PRESIDENTE KENNEDY,Presidente Kennedy,0.48,9.34,31.13,19.28,7.6,17.11,0.636,0.553,0.657,39.94,18.93,16949348.64,26.09,2924,5796.63,20774432.47,0.2789475088967972,0.3767112989323843,0.0620925266903914,0.03140569395017794,0.6640538256227768,0.3688834519572954,0.1704159252669038,0.6731892523364486,0.972852,274.08,4.6,,,,,,,,,
RIO BANANAL,Rio Bananal,0.5,9.19,29.44,17.85,5.63,13.27,0.68,0.579,0.681,42.72,8.81,26170329.51,31.41,3608,7253.42,23592837.69,0.280311736590547,0.4099495485926712,0.1277588953797131,0.08528943175783314,0.6629006903876786,0.1970260223048327,0.1989378651088688,0.4399190619487393,0.944228,288.7,4.8,,,,,,,,,
RIO NOVO DO SUL,Rio Novo do Sul,0.48,8.7,36.62,23.66,2.54,9.03,0.692,0.62,0.711,35.84,10.36,9360567.74,25.11,1257,7446.75,8442785.62,0.2736828012358393,0.4009021627188465,0.08235839340885688,0.05478887744593205,0.6561534500514928,0.3313594232749743,0.1164850669412978,0.4051856536272473,0.961007,287.93,4.9,,,,,,,,,
SANTA LEOPOLDINA,Santa Leopoldina,0.55,9.15,23.27,14.82,10.36,13.26,0.646,0.477,0.626,55.88,15.02,13595506.7,26.34,1411,9635.37,11206288.41,0.2872632541133457,0.3369987812309568,0.08669713589274824,0.04277879341864717,0.6798165752589878,0.4040219378427788,0.1731413772090191,0.4936670227376774,0.942323,264.55,4.1,,,,,,,,,
SANTA MARIA DE JETIBA,Santa Maria de Jetibá,0.49,8.72,25.64,15.53,4.49,10.92,0.695,0.521,0.671,51.05,4.2,54649378.87,31.71,4183,13064.64,28286727.94,0.2922897669706184,0.4349057750759877,0.1315501519756837,0.0466734211415062,0.6472012833502214,0.2648598446470787,0.228519419115164,0.3673984052262465,0.949709,306.14,5.3,Santa Maria de Jetibá,522.3428571428572,547.4,555.2714285714286,522.1,625.7142857142857,554.5657142857143,8.0,0.0
SANTA TERESA,Santa Teresa,0.48,9.21,38.85,25.52,1.09,9.84,0.722,0.604,0.714,33.35,5.61,26793735.02,33.96,2966,9033.63,19553257.21,0.2797251908396948,0.4002095766828591,0.1054365024288688,0.06953504510756417,0.6262172102706449,0.2827897293546148,0.194113809854268,0.3052437741143458,0.891702,306.54,5.0,Santa Teresa,566.1615384615385,567.3307692307692,570.7615384615384,627.4384615384615,800.0,626.3384615384615,13.0,0.0
SAO DOMINGOS DO NORTE,São Domingos do Norte,0.49,9.78,32.81,22.84,3.09,12.11,0.679,0.575,0.682,36.1,10.45,13373086.55,34.89,1391,9614.01,9918546.95,0.2953859111791731,0.3434724349157733,0.08928866768759566,0.06248085758039817,0.6876562021439505,0.3753828483920367,0.214010719754977,0.6742344859704273,0.986533,253.39,4.2,,,,,,,,,
SAO GABRIEL DA PALHA,São Gabriel da Palha,0.6,9.21,38.73,23.94,5.41,10.57,0.739,0.578,0.709,35.53,5.77,24800281.95,25.09,4074,6087.45,27273145.82,0.2639792597319722,0.3996643267389915,0.0894068283343968,0.05488194001276316,0.6339696873005769,0.2833439693682195,0.1226196553924697,0.4517239240977304,0.966648,290.8,4.9,São Gabriel da Palha,503.57,513.1818181818181,538.9363636363637,533.6800000000001,674.5454545454545,550.0933333333334,13.0,0.0
SAO JOSE DO CALCADO,São José do Calçado,0.51,8.97,37.82,23.67,5.62,12.34,0.669,0.599,0.688,32.56,15.14,9861042.79,28.15,1599,6167.01,10887232.79,0.2653528265107212,0.2910194931773879,0.05065107212475631,0.05136452241715396,0.6339532163742688,0.4383528265107213,0.1268040935672515,0.7246736532450818,0.996306,254.08,4.2,,,,,,,,,
SAO MATEUS,São Mateus,0.57,9.25,50.14,36.56,4.59,9.76,0.719,0.655,0.735,31.65,9.51,90179582.03,33.19,17030,5295.34,116192153.45,0.2614216860147084,0.3784641098887762,0.09440703823011048,0.04732267671549286,0.5963947608338828,0.3103081504892725,0.1416095544885422,0.6083134009955394,0.981075,283.42,4.8,São Mateus,540.688,541.2086538461538,541.4865384615384,598.563,760.7692307692307,593.8580769230769,112.0,0.0
