municipio_norm,Nome_Municipio,RDPC_RAW,RDPC_INV,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,NO_MUNICIPIO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA
BAIXO GUANDU,Baixo Guandu,36.45,19.0,0.48,9.87,40.22,26.78,4.0,13.15,0.67,0.637,0.702,32.75,11.0,25051277.2,27.46,4039,6202.35,27194933.27,Baixo Guandu,477.96324786324783,496.9236220472441,516.7055118110237,517.0452991452992,589.4488188976378,517.4478215223097,167,0.2724422645739914,0.4046505044843048,0.0799274103139012,0.03127802690582956,0.6351858183856534,0.3839686098654708,0.09957707399103143,0.493512420942818
BARRA DE SAO FRANCISCO,Barra de São Francisco,37.13,18.32,0.5,9.0,36.87,23.3,6.74,15.72,0.673,0.58,0.683,32.26,13.22,34279364.12,28.0,5108,6710.92,33718309.97,Barra de São Francisco,487.9652173913044,509.27824427480914,524.4030534351145,532.3185770750988,641.7557251908397,538.0109885931558,348,0.2750997741736812,0.3729310203243681,0.0974163416136316,0.04278382262369119,0.6654576062410236,0.3370971053171833,0.1348618353520839,0.5413195915101887
BOA ESPERANCA,Boa Esperança,39.23,16.220000000000006,0.45,9.22,34.05,23.27,4.67,16.51,0.651,0.59,0.679,34.55,13.2,14399592.33,29.45,2027,7103.89,14042238.3,Boa Esperança,460.8820754716981,472.3076923076923,497.34700854700856,491.4924528301887,584.4444444444445,497.0180508474576,135,0.2800898921294447,0.3502121454254894,0.08505593288054325,0.05721134638433873,0.6449192968437885,0.354974031162605,0.188163803435877,0.7350088183421517
BOM JESUS DO NORTE,Bom Jesus do Norte,33.86,21.590000000000003,0.48,9.93,52.01,37.28,1.54,9.15,0.689,0.673,0.734,14.21,12.42,10373783.47,29.63,1237,8386.24,8407398.66,Bom Jesus do Norte,455.3833333333333,476.4631578947368,495.0210526315789,465.2722222222222,669.4736842105264,513.2378947368421,20,0.236092378752887,0.325329676674365,0.05847228637413392,0.02909930715935335,0.592112009237875,0.3458429561200924,0.06569572748267914,0.7017749171055198
BREJETUBA,Brejetuba,46.29,9.160000000000004,0.48,9.47,27.13,17.71,9.41,18.93,0.63,0.54,0.656,48.26,8.02,12397028.35,27.88,1599,7752.99,10554146.7,Brejetuba,469.5159420289855,484.85789473684207,507.0394736842105,507.6304347826087,598.9473684210526,512.6486842105263,105,0.2708479899497487,0.4050351758793969,0.1251513819095476,0.03241206030150754,0.6621614321608034,0.2198492462311558,0.1804227386934675,0.6110897189064305
CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,23.44,32.010000000000005,0.52,9.61,51.69,34.65,1.42,5.71,0.733,0.677,0.746,25.25,9.32,118747684.42,26.25,22050,5385.38,159647880.19,Cachoeiro de Itapemirim,505.5201819685691,521.0113118617439,533.9344854673998,556.7875103391232,672.4901806755695,556.563896307934,1489,0.266381406509568,0.4134685904140791,0.07598523349535458,0.04941856887959171,0.6190489140466265,0.3509659755122131,0.08932892389097355,0.3899917108931782
CARIACICA,Cariacica,25.29,30.160000000000004,0.45,9.38,49.63,32.11,1.64,6.08,0.699,0.628,0.718,26.98,10.46,186070692.48,25.72,49366,3769.21,354933240.64,Cariacica,484.5502543810063,505.3980118216013,520.2660934981193,513.6613906161673,617.4099946265449,526.709982126899,2288,0.2725338629551196,0.4144488020625883,0.1049090280252363,0.04148238204037082,0.605694866581403,0.3733728802901042,0.09522709455636037,0.5329555773697209
CASTELO,Castelo,24.63,30.820000000000004,0.45,8.07,41.94,27.87,1.48,8.42,0.703,0.639,0.726,31.96,5.61,40547749.9,37.57,4720,8590.62,32199371.3,Castelo,496.3011049723757,505.8424870466321,523.0264248704664,539.0287292817679,614.4041450777202,533.1260103626943,219,0.259807318022577,0.3997543791358505,0.0883250291942389,0.0403269754768392,0.6178034254573773,0.2743285325029194,0.1382456208641496,0.323124830760899
COLATINA,Colatina,20.57,34.88,0.51,8.89,47.45,32.13,1.12,7.71,0.738,0.668,0.746,24.7,8.19,91074609.87,32.39,15415,5908.18,111776775.39,Colatina,524.14503990878,534.0150384193195,542.1715697036224,571.142417331813,686.4983534577387,570.4973377097009,1075,0.252251918976545,0.403587313432837,0.08403400852878445,0.05300639658848635,0.614526652452028,0.2518123667377399,0.1064520255863538,0.3881599226879275
CONCEICAO DA BARRA,Conceição da Barra,45.93,9.520000000000003,0.5,9.73,38.54,24.69,6.78,15.23,0.648,0.603,0.681,35.2,18.93,25095734.29,27.22,5178,4846.61,37326826.88,Conceição da Barra,452.36058394160585,464.4604166666667,500.71180555555554,480.3321167883212,560.6944444444445,490.0371759259259,173,0.2707468375225891,0.3248434368325931,0.0658419582717265,0.03610974207327086,0.6458386725809162,0.4080006571381633,0.1438661080992275,0.8211086022288586
