municipio_norm,Nome_Municipio,GINI,E_ANOSESTUDO,PERC_FUND_COMP,PERC_MED_COMP,T_FREQ1517_FUND,TX_ANALF,IDHM_R,IDHM_E,IDHM,CRIAN_VULN,NEET_VULN,EDU_Aplicacao_Total,EDU_Perc_Aplicacao,EDU_Alunos,EDU_Investimento_Aluno,EDU_ReceitaFUNDEB,IVCAD,IVCAD_NC,IVCAD_DPI,IVCAD_DCA,IVCAD_TQA,IVCAD_DR,IVCAD_CH,IVCAD_COBERTURA,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NOTA_MEDIA,QTD_CANDIDATOS,PERC_ESCOLA_PUB
SAO ROQUE DO CANAA,São Roque do Canaã,0.43,9.96,28.99,18.5,4.17,9.73,0.686,0.623,0.7,36.22,6.0,11745824.97,29.95,1091,10766.11,6694927.88,0.2461506996770722,0.3704499461786868,0.08248654467169002,0.05812701829924651,0.64356512378902,0.1716899892357374,0.1504520990312166,0.446261252985486,,,,,,,,,
SERRA,Serra,0.47,9.4,57.31,39.79,1.57,5.55,0.72,0.664,0.739,24.14,8.79,415615854.79,27.91,65908,6306.0,428223034.82,0.2661202247770238,0.423722379749442,0.09436479868020793,0.04467701190905704,0.5928268460758341,0.3557809626918252,0.08527275695554862,0.459321275398394,Serra,500.80187997107737,517.9770858770859,531.1715371048705,531.7719739696313,621.6931216931217,539.4552216659902,10275.0,35.05596107055961
SOORETAMA,Sooretama,0.5,8.69,32.92,19.15,5.72,14.59,0.65,0.556,0.662,43.4,15.35,22659970.87,27.69,5654,4007.78,45355695.08,0.2752653485952136,0.4362167880679847,0.1198570933055843,0.09184876864377375,0.6208772112382948,0.2481789802289282,0.1345875823794657,0.6068598596332352,Sooretama,463.538679245283,489.9654545454545,509.92681818181813,489.1929245283019,610.8181818181819,512.3021823617339,323.0,43.653250773993804
VARGEM ALTA,Vargem Alta,0.45,9.07,29.2,16.6,2.96,11.3,0.658,0.544,0.663,44.08,7.47,21517369.58,34.54,2743,7844.47,18091232.38,0.2600711166562696,0.4052994385527136,0.1049625701809107,0.03942607610729881,0.6463955084217086,0.2344042420461634,0.1299357454772303,0.4353115575320758,,,,,,,,,
VENDA NOVA DO IMIGRANTE,Venda Nova do Imigrante,0.52,9.43,42.39,27.48,1.73,8.43,0.731,0.624,0.728,33.96,7.29,33113557.73,38.08,2338,14163.2,15428286.39,0.2619322916666667,0.3990353009259258,0.0863715277777777,0.0643518518518518,0.628831018518518,0.2186053240740741,0.1744189814814815,0.4053543703579371,Venda Nova do Imigrante,510.9567010309279,534.7212792127922,535.0627306273062,556.9425257731959,673.6531365313654,560.3476097560975,1004.0,44.6215139442231
VIANA,Viana,0.42,8.48,40.89,23.21,2.27,7.03,0.672,0.589,0.686,32.27,10.44,68450785.37,25.46,13955,4905.11,96457209.74,0.2654277879341864,0.4163888590171002,0.08469534358533157,0.05727497580385014,0.6065640391439966,0.3525916765243575,0.07498677277126557,0.5300382713863503,Viana,485.5254196642686,504.6071829405163,519.2272727272727,506.0176258992806,591.2008978675645,519.3588031319911,1245.0,44.738955823293175
VILA PAVAO,Vila Pavão,0.48,9.41,29.22,17.87,8.25,14.23,0.647,0.588,0.681,36.91,5.58,9860435.33,30.17,1355,7277.07,9639614.9,0.2835698143664246,0.341177562550444,0.09384745762711859,0.05052461662631156,0.6560193704600479,0.3688458434221146,0.190900726392252,0.617326899337897,,,,,,,,,
VILA VALERIO,Vila Valério,0.51,9.28,26.68,17.63,5.54,14.07,0.686,0.549,0.675,42.98,10.71,17832169.9,28.62,2260,7890.34,14952298.83,0.2988194856577646,0.3843175074183975,0.1072685459940651,0.03778437190900098,0.6724317507418397,0.3665924826904056,0.2245801186943623,0.5768502331002331,,,,,,,,,
VILA VELHA,Vila Velha,0.56,9.83,68.96,53.37,0.83,3.57,0.807,0.734,0.8,16.29,6.33,276844576.24,26.8,53912,5135.12,357361180.29,0.2680361246247778,0.4141796397888397,0.08630240140772212,0.04431735845150559,0.5933317979505045,0.3739519718455647,0.096053488251737,0.3317590363506527,Vila Velha,521.2266299973169,541.0805020283975,546.4318585192698,561.1509659243359,663.3468559837728,565.2102814646273,10412.0,24.875144064540912
VITORIA,Vitória,0.6,10.04,76.83,64.08,0.64,2.98,0.876,0.805,0.845,12.47,5.15,609687982.9,28.52,41647,14639.42,278554714.3,0.2664634323508038,0.3878634399969423,0.05616236571472283,0.0441335015483429,0.6043115036127797,0.3889111901211912,0.1173162824482936,0.3205820317218439,Vitória,537.5978708884946,554.7853443811497,555.5200543759711,587.8491469905828,687.4961160020715,582.9310306227483,10291.0,19.94947041103877
